Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","C1608X5R0J226M080AC","Chip Capacitor, 22 uF, +/- 20%, 6.3 V, -55 to 85 degC, 1608 (0603 Metric), RoHS, Tape and Reel","C1, C29, C30, C31, C32, C33, C34","CMP-2000-05440-1","Released","Up to date","7","Murata","GRM188R60G226MEA0D","Volume Production","Mouser","81-GRM188R60G226ME0D","0.225","2.25"
"","C0603X104K5RACTU","CAP CER 0.1UF 50V X7R 0603","C2, C3","CMP-2006-03300-2","New From Design","Up to date","2","KEMET","C0603X104K5RACTU","Volume Production","Mouser","80-C0603X104K5R","0.2","0.4"
"","C0603C105K3PAC7867","","C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C35, C36, C37, C38","CMP-2006-02216-2","Released","Up to date","29","KEMET","C0603C105K3PACTU","Volume Production","Mouser","80-C0603C105K3P","0.073","2.12"
"","SMAJ5.0CA-TR","TVS DIODE 5V 13.4V SMA","D1, D2, D3, D4, D5","CMP-12225-000029-1","New From Design","Up to date","5","STMicroelectronics","SMAJ5.0CA-TR","Volume Production","Mouser","511-SMAJ5.0CA","0.41","2.05"
"","150060VS75000","WL-SMCW SMD Chip LED Top View Monocolor Waterclear, 30 mA, 2 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1","CMP-1426-00006-4","Released","Up to date","1","Wurth Electronics","150060VS75000","Volume Production","Digi-Key","732-4980-1-ND","0.14","0.14"
"","SM02B-SRSS-TB(LF)(SN)","CONN HEADER SMD R/A 2POS 1MM","J1, J2","CMP-17439-000024-1","New From Design","Up to date","2","JST","SM02B-SRSS-TB(LF)(SN)","Volume Production","Digi-Key","455-1802-1-ND","0.47","0.94"
"","PPPC081LFBN-RC","Female Header, Pitch 2.54 mm, 1 x 8 Position, Height 8.5 mm, Tail Length 3.2 mm, -40 to 105 degC, RoHS, Bulk","J3, J10","CMP-1770-00002-1","Released","Up to date","2","Sullins","PPPC081LFBN-RC","Volume Production","Digi-Key","S7041-ND","0.67","1.34"
"","SSW-104-02-G-D","SQ Post Socket, Through-hole, Vertical, -55 to 125 degC, 2.54mm Pitch, 8-Pin, Female, RoHS","J4","CMP-1023-00343-1","Released","Up to date","1","Samtec","SSW-104-02-G-D","Volume Production","Mouser","200-SSW10402GD","1.28","1.28"
"","SSW-108-01-T-D","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54mm Pitch, 16-Pin, Female, RoHS","J5, J11","CMP-1023-00375-1","Released","Up to date","2","Samtec","SSW-108-01-T-D","Volume Production","Mouser","200-SSW10801TD","1.37","2.74"
"","FTSH-105-01-F-DV-K-TR","CONN HEADER SMD 10POS 1.27MM","J6, J12","CMP-02766-000004-2","New From Design","Up to date","2","Samtec","FTSH-105-01-F-DV-K-TR","Volume Production","Mouser","200-FTSH10501FDVKTR","2.75","5.5"
"","SSW-104-01-T-D","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54mm Pitch, 8-Pin, Female, RoHS","J7, J8","CMP-1023-00339-1","Released","Up to date","2","Samtec","SSW-104-01-T-D","Volume Production","Digi-Key","SAM1212-04-ND","0.74","1.48"
"","1054500101","CONN RCP USB3.1 TYPEC 24P SMD RA","J9, J13","CMP-04767-000004-1","New From Design","Up to date","2","Molex","105450-0101","Volume Production","Mouser","538-105450-0101","2.19","4.38"
"","SSW-103-01-T-D","SQ Post Socket, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 6-Pin, Female, RoHS","J14","CMP-1023-00332-1","Released","Up to date","1","Samtec","SSW-103-01-T-D","Volume Production","Digi-Key","SAM1212-03-ND","0.61","0.61"
"","150080BS75000","SMD mono-color Chip LED, WL-SMCW, Blue","LED1, LED2","CMP-1426-00008-1","Released","Up to date","2","Wurth Electronics","150080BS75000","Volume Production","Digi-Key","732-4982-6-ND","0.18","0.36"
"","ESP32-WROOM-32D","WIFI MODULE 32MBITS SPI FLASH","MD1","CMP-194065-000003-1","New From Design","Up to date","1","Espressif Systems","ESP32-WROOM-32D (8MB)","Unknown","Digi-Key","1904-1024-6-ND","4.35","4.35"
"","150060SS75000","SMD mono-color Chip LED, WL-SMCW, Super Red","PWR","CMP-1426-00004-1","Released","Up to date","1","Wurth Electronics","150060SS75000","Volume Production","Digi-Key","732-4979-6-ND","0.14","0.14"
"","MMBT3904LT1G","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q1, Q2","CMP-1048-00631-1","Released","Up to date","2","Diodes Zetex","MMBT3904-7-F","Volume Production","Digi-Key","MMBT3904-FDIDKR-ND","0.12","0.24"
"","RC0603FR-072KL","Chip Resistor, 2 KOhm, +/- 1%, 50 V, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1, R2, R15, R24, R33, R34","CMP-2000-06937-1","Released","Up to date","6","Yageo","RC0603FR-072KL","Volume Production","Mouser","603-RC0603FR-072KL","0.018","0.18"
"","RC0603FR-074K7L","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R3, R4","CMP-2000-06942-1","Released","Up to date","2","Yageo","RC0603FR-074K7L","Volume Production","Mouser","603-RC0603FR-074K7L","0.018","0.18"
"","CRCW060310K0JNEA","RES Thick Film, 10kO, 5%, 0.1W, 200ppm/°C, 0603","R5, R7, R8, R9, R10, R11, R14, R25, R26","CMP-2000-03838-2","New From Design","Up to date","9","Vishay Dale","CRCW060310K0JNEA","Volume Production","Mouser","71-CRCW0603J-10K-E3","0.028","0.28"
"","25ohm","Resistor","R6","","Not managed","","1","Vishay","RCP0603W25R0GEB","Volume Production","Digi-Key","541-2654-6-ND","1.98","1.98"
"","MCT06030C1002FP500","RES SMD 100 OHM 1% 1/8W 0603","R12, R16, R17, R18, R27","CMP-02407-000418-1","New From Design","Up to date","5","Yageo","RC0603FR-0710KL","Volume Production","Mouser","603-RC0603FR-0710KL","0.018","0.18"
"","RC0603FR-131KL","","R13","CMP-2000-04205-1","Released","Up to date","1","Yageo","RC0603FR-131KL","Volume Production","Mouser","603-RC0603FR-131KL","0.1","0.1"
"","ERJ6ENF1202V","","R19, R28","CMP-2001-00513-1","Released","Up to date","2","Panasonic","ERJ-6ENF1202V","Volume Production","Digi-Key","P12.0KCDKR-ND","0.1","0.2"
"","CRCW06030000Z0EAHP","RES Thick Film, 0O, , 0.33W, , 0603","R20, R21, R29, R30","CMP-2000-03817-2","New From Design","Up to date","4","Vishay Dale","CRCW06030000Z0EAHP","Volume Production","Digi-Key","541-0.0SBDKR-ND","0.14","0.56"
"","CRCW060322K1FKEA","","R22, R31","CMP-2000-03094-1","Released","Up to date","2","Vishay","CRCW060322K1FKEA","Volume Production","Mouser","71-CRCW0603-22.1K-E3","0.1","0.2"
"","CRCW060347K5FKEA","","R23, R32","CMP-1012-00700-2","Released","Up to date","2","Bourns","CR0603-FX-4752ELF","Volume Production","Mouser","652-CR0603FX-4752ELF","0.013","0.13"
"","10CL010YE144C8G","No Description Available","U1","","Not managed","","1","Intel","10CL010YE144C8G","Unknown","Digi-Key","544-3578-ND","9.77","9.77"
"","S25FL128SAGMFIR00","MirrorBit Flash Non-Volatile Memory CMOS 3.0 Volt Core with Versatile I/O, Serial Peripheral Interface with Multi-I/O, 128 Mbit, 133 MHz, -40 to 85 degC, 16-Pin SO (SO3016), RoHS, Tray","U2","CMP-1329-00025-1","Released","Up to date","1","Spansion","S25FL128SAGMFIR00","Volume Production","Mouser","797-25FL128SAGMFIR00","3.25","3.25"
"","CP2102N-A01-GQFN28","IC BRIDGE USB TO UART 28QFN","U3, U4","CMP-08093-000004-1","New From Design","Up to date","2","Silicon Labs","CP2102N-A02-GQFN28R","Unknown","Digi-Key","336-5890-1-ND","1.47","2.94"
"","TPS79912DDCT","Single Output High PSRR LDO, 200 mA, Fixed 1.2 V Output, 2.7 to 6.5 V Input, with Low IQ, 5-pin SOT (DDC), -40 to 125 degC, Green (RoHS & no Sb/Br)","U5","CMP-0394-01099-2","Released","Up to date","1","Texas Instruments","TPS79912DDCT","Volume Production","Mouser","595-TPS79912DDCT","0.98","0.98"
"","LD1117S33CTR","IC REG LINEAR 3.3V 800MA SOT223","U6","CMP-0244-00307-2","New From Design","Up to date","1","STMicroelectronics","LD1117S33CTR","Volume Production","Mouser","511-LD1117S33C","0.46","0.46"
"","TPS73625DBVT","Single Output Low Noise LDO, 400 mA, Fixed 2.5 V Output, 1.7 to 5.5 V Input, with Reverse Current Protection, 5-pin SOT-23 (DBV), -40 to 85 degC, Green (RoHS & no Sb/Br)","U7","CMP-0395-00283-2","Released","Up to date","1","Texas Instruments","TPS73625DBVT","Volume Production","Digi-Key","296-15817-6-ND","2.37","2.37"
"","ASE-25.000MHZ-LC-T","XTAL OSC XO 25.0000MHZ CMOS SMD","Y1","CMP-2000-05795-2","New From Design","Up to date","1","Abracon","ASE-25.000MHZ-LC-T","Volume Production","Digi-Key","535-9568-6-ND","1.4","1.4"
